statistic,value
mean,0.129280803199014
sd,0.029871635587757142
q2.5,0.07728962660550627
q5,0.08418055251614866
q10,0.09262462837967667
q25,0.10806499926084132
q50,0.12707755254545713
q75,0.14811004442031309
q90,0.1687856573324812
q95,0.18193387506095485
q97.5,0.19378220654801062
